MMR,ABR,PSW,EDUF,EDUM,LFPF,LFPM,GII
437,69.934,18.44660194,33.98,36.16,45.622,53.606,0.54
160,45.453,19.78609626,18.32,31.7,73.96,85.918,0.461
458,94.312,34.57142857,61.76821107,72.4445032,79.308,88.933,0.532
241,138.402,29.54545455,28.1639,51.54617,73.968,79.071,0.537
250,33.043,14.97659906,38.50756836,47.8025589,40.987,69.962,0.498
31,38.72,11.2,37.12,43.372,15.715,70.767,0.477
529,110.378,31.07142857,36.84196776,54.95841188,70.154,80.747,0.565
342,64.185,23.24455206,31.07780546,37.66723653,70.984,75.564,0.506
378,103.633,13.63636364,47.98,51.98,65.062,67.605,0.564
213,117.017,15.06024096,47.10420099,56.81189742,69.23,77.847,0.54
145,55.25,0,10.78,15.52,46.254,48.14,0.725
766,78.013,20.26143791,14.46704956,21.91646074,27.396,62.19,0.632
617,104.968,15.58073654,23.87971266,32.16237494,45.92,64.893,0.613
524,123.652,36.8556701,13.00208063,19.10147619,79.528,87.098,0.56
140,42.269,19.90950226,22.06782913,28.67371941,20.727,78.079,0.534
396,77.88,18.68131868,13.93464167,42.29159483,55.488,59.369,0.58
480,52.545,2.739726027,27.94,40.96,60.686,68.93,0.635
917,101.675,4.47761194,40.35792136,55.28503224,47.93,59.591,0.68
248,32.444,55.66037736,11.44769934,16.31111198,82.501,82.226,0.388
397,92.259,8.43373494,21.06531874,34.43517121,69.334,72.599,0.602
375,107.938,33.81294964,29.34,36.32,64.172,71.306,0.53
544,89.568,22.87581699,27.18479273,24.55728122,56.071,71.343,0.557
349,117.865,22.91666667,21.30387863,28.44226027,71.559,79.953,0.554
315,66.454,43.03030303,11.14758684,30.92489003,33.51,56.729,0.53
295,79.908,31.04166667,16.42,20.12,28.653,67.819,0.553
335,119.429,17.15976331,27.31361738,29.75999953,81.531,87.595,0.556
597,63.188,8.620689655,29.91536713,43.19478226,48.917,66.259,0.611
401,69.221,39.543058,9.137025833,20.10887527,72.335,84.683,0.52
667,87.537,13.7254902,9.798909187,22.79538155,63.868,78.373,0.627
661,123.38,9.708737864,20.76,39.16,69.782,79.717,0.648
473,108.962,14.28571429,40.27580654,69.11574797,61.209,69.065,0.601
638,82.565,27.21518987,6.395730019,14.86571026,14.848,66.515,0.678
1120,100.905,12.32876712,34.74049907,51.53708467,56.086,55.925,0.633
576,114.829,16.66666667,7.151153164,19.66277119,62.061,62.188,0.621
164,54.404,0.294117647,22.44,37.52,5.995,67.637,0.82
320,110.509,6.299212598,11.28843615,17.11972185,57.237,72.725,0.621
289,165.778,42.4,10.80922139,20.23368486,77.657,78.931,0.537
562,150.062,27.27272727,7.999770164,15.48596954,57.678,79.673,0.613
548,53.621,38.88888889,7.799910319,13.04688639,78.991,77.379,0.505
829,160.507,12.85714286,13.94,31.56,63.312,79.486,0.672
509,170.462,25.90361446,9.163241563,15.23277103,61.73,84.267,0.611
1140,138.306,32.25806452,7.739064493,24.36999639,46.914,69.927,0.652
1150,99.199,32.33438486,26.53763962,36.35723877,70.44,73.574,0.587
14.97853185,14.09208185,29.13450292,86.97344955,89.41055967,52.56831041,68.412961,0.155
62.10730446,28.04192388,25.75284772,72.67504104,78.02377915,53.63918217,73.47596252,0.329
175.3470942,38.12841017,21.78904711,43.95910711,54.18083056,28.80900951,71.30478678,0.494
499.4570447,89.51971356,24.34782609,22.79077998,34.12232595,49.26579234,73.20895635,0.577
246.9095662,46.52435502,23.94606758,56.91932551,64.66053086,44.39985685,72.76621608,0.487
150.2808287,45.25376613,18.33366474,53.81279842,60.44328083,19.32871244,69.46601765,0.536
81.93302878,21.58068237,20.9302702,71.43200548,78.21712342,59.70419824,75.20912609,0.337
20.27576562,20.13162299,26.07003891,83.35239467,89.7488391,42.92637716,67.03875232,0.227
75.03083761,53.38933304,33.20063694,63.16086322,63.1713811,48.63018103,72.65657079,0.381
153.2683128,28.93707549,17.57785467,42.18837763,52.81724071,21.59412837,71.58559894,0.508
535.6588135,100.8778766,25.71575167,31.14724917,44.26957348,62.14442812,72.25366195,0.569
416.9284594,93.72968254,24.67922185,27.51403728,38.67386589,54.61581026,75.79993013,0.562
212.216578,50.89808228,26.70522279,62.05215661,65.65456565,50.40075196,68.67853343,0.461
17.9282692,19.23577034,32.39033933,86.72352629,89.05257643,51.84306675,67.7784921,0.185
225.4065029,42.52906594,25.91337244,64.15425842,70.31651579,46.20044669,71.69173974,0.465
